# forge words 1 agid=2016.01.19 sha256=15d2d792d309d2dc838bf75d8abcd3feb36708c219dc5158d4fff70b89e601d1 plurals=1300 agents=633 vocabulary=3178 converter=1
#
# The dictionary forge inflects names against, in the form it is reviewed in.
#
# Sections are [name]; blank lines and lines opening with # are ignored. An
# entry is a word on its own, or a word and what it maps to separated by a tab.
# Entries are sorted within a section, which is what lets the loader index the
# file in one pass and what makes an update to the dictionary read as words
# added and removed rather than as a wall of moved bytes. A word inserted out of
# order is still found; the sort is checked when the file is loaded.
#
# There is no singular section. The singular of a word is the plural table read
# backwards, and the loader derives it — where two singulars share a plural,
# the first in alphabetical order wins, so the answer does not depend on the
# order anything was built in. Writing it down as well would be one fact in two
# places, and the two could disagree.
#
# Everything here is the exceptions. A pair the regular rules already get right
# is not carried, because it would be bytes spent reaching the same answer, and
# a word the dictionary has never heard of falls through to those rules — which
# is where a domain word belongs, since a domain word is usually regular.
#
# This file is written by internal/words/gen, from a release of the
# Automatically Generated Inflection Database. Edit it by hand to add a word the
# release does not carry; the converter's overrides.txt is where a correction
# belongs, so that the next release does not undo it.

[plural]
aardwolf	aardwolves
abiogenesis	abiogeneses
abomasum	abomasa
acariasis	acariases
acarus	acari
acervulus	acervuli
acidosis	acidoses
acinus	acini
actinomycosis	actinomycoses
aculeus	aculei
addendum	addenda
adenohypophysis	adenohypophyses
adenosis	adenoses
adiposis	adiposes
adman	admen
aecium	aecia
aerobiosis	aerobioses
afterlife	afterlives
agamogenesis	agamogeneses
agape	agapae
agenesis	ageneses
agranulocytosis	agranulocytoses
aircraft	aircraft
aircraftman	aircraftmen
airman	airmen
airwoman	airwomen
albedo	albedoes
alderman	aldermen
alderwoman	alderwomen
alewife	alewives
alga	algae
alkali	alkalies
alkalosis	alkaloses
alligatorfish	alligatorfish
alnico	alnicoes
altocumulus	altocumuli
altostratus	altostrati
alumna	alumnae
alumnus	alumni
alveolus	alveoli
amanuensis	amanuenses
amaurosis	amauroses
amberfish	amberfish
ambulacrum	ambulacra
amebiasis	amebiases
amitosis	amitoses
amniocentesis	amniocenteses
amoebiasis	amoebiases
amphibrach	amphibrachs
amphimixis	amphimixes
amphora	amphorae
ampulla	ampullae
amyloidosis	amyloidoses
amylolysis	amylolyses
anabiosis	anabioses
anaclisis	anaclises
anadiplosis	anadiploses
analysis	analyses
anamnesis	anamneses
anamorphosis	anamorphoses
anaphylaxis	anaphylaxes
anaplasmosis	anaplasmoses
anastomosis	anastomoses
anchorman	anchormen
anchorperson	anchorpeople
anchorwoman	anchorwomen
anchylosis	anchyloses
androgenesis	androgeneses
animalculum	animalcula
ankylosis	ankyloses
anopheles	anopheles
anthesis	antheses
anthracosis	anthracoses
anthrax	anthraces
anthropogenesis	anthropogeneses
anthropophagus	anthropophagi
antihero	antiheroes
antiphrasis	antiphrases
antisepsis	antisepses
antithesis	antitheses
anuresis	anureses
aphaeresis	aphaereses
aphelion	aphelia
apheresis	aphereses
aphesis	apheses
aponeurosis	aponeuroses
apophasis	apophases
apophysis	apophyses
aposiopesis	aposiopeses
apothecium	apothecia
apotheosis	apotheoses
appalling	appalling
appendix	appendices
apsis	apses
archaebacterium	archaebacteria
archegonium	archegonia
archesporium	archesporia
arteriosclerosis	arterioscleroses
arthritis	arthritides
artilleryman	artillerymen
asbestosis	asbestoses
ascariasis	ascariases
ascoma	ascomata
ascus	asci
asepsis	asepses
aspergillosis	aspergilloses
assemblyman	assemblymen
assemblywoman	assemblywomen
atelectasis	atelectases
atherogenesis	atherogeneses
atherosclerosis	atheroscleroses
athetosis	athetoses
atrium	atria
auspex	auspices
austral	australes
autocatalysis	autocatalyses
autogenesis	autogeneses
autolysis	autolyses
auxesis	auxeses
avitaminosis	avitaminoses
axis	axes
ay	ayes
bacillus	bacilli
backwoodsman	backwoodsmen
bacteriolysis	bacteriolyses
bacteriostasis	bacteriostases
bacterium	bacteria
badman	badmen
bagman	bagmen
bailsman	bailsmen
balloonfish	balloonfish
ban	bani
bandeau	bandeaux
bandsman	bandsmen
barbasco	barbascoes
bargeman	bargemen
barman	barmen
barrelfish	barrelfish
baseman	basemen
basidium	basidia
basis	bases
bastinado	bastinadoes
batman	batmen
batsman	batsmen
beadsman	beadsmen
beef	beeves
beefalo	beefaloes
beggarman	beggarmen
beggarwoman	beggarwomen
behalf	behalves
bellman	bellmen
bijou	bijoux
bilharziasis	bilharziases
biogenesis	biogeneses
biosynthesis	biosyntheses
biz	bizzes
blastogenesis	blastogeneses
blastomycosis	blastomycoses
blepharitis	blepharitides
boatman	boatmen
bogeyman	bogeymen
bogyman	bogymen
bondman	bondmen
bondsman	bondsmen
bondswoman	bondswomen
bondwoman	bondwomen
boogeyman	boogeymen
bookshelf	bookshelves
bourgeois	bourgeois
bowman	bowmen
brachium	brachia
brainchild	brainchildren
brakeman	brakemen
branchia	branchiae
bravado	bravadoes
bregma	bregmata
bronchus	bronchi
brucellosis	brucelloses
bubo	buboes
bucktooth	buckteeth
buffalo	buffaloes
burrfish	burrfish
bursa	bursae
bushman	bushmen
businessman	businessmen
businessperson	businesspeople
businesswoman	businesswomen
busman	busmen
butterflyfish	butterflyfish
buttonquail	buttonquail
by	byes
cabman	cabmen
cactus	cacti
caduceus	caducei
caecum	caeca
calcaneus	calcanei
calculus	calculi
calf	calves
calico	calicoes
calyculus	calyculi
cameraman	cameramen
camerawoman	camerawomen
canaliculus	canaliculi
candelabrum	candelabra
candidiasis	candidiases
canthus	canthi
capitulum	capitula
carbonado	carbonadoes
cardinalfish	cardinalfish
cargo	cargoes
carpus	carpi
caryopsis	caryopses
castling	castling
catachresis	catachreses
catalysis	catalyses
cataphoresis	cataphoreses
catechesis	catecheses
catharsis	catharses
cathexis	cathexes
cattalo	cattaloes
cattleman	cattlemen
cavalryman	cavalrymen
caveman	cavemen
cecum	ceca
celoma	celomata
cementum	cementa
cenogenesis	cenogeneses
centesis	centeses
cervix	cervices
chaeta	chaetae
chairman	chairmen
chairwoman	chairwomen
chamois	chamois
chapman	chapmen
charisma	charismata
charwoman	charwomen
chassis	chassis
chateau	chateaux
chelicera	chelicerae
chemosynthesis	chemosyntheses
chemotaxis	chemotaxes
chessman	chessmen
child	children
chili	chilies
chilli	chillies
chinchillon	chinchilla
chlamydia	chlamydiae
chlorosis	chloroses
cholecystitis	cholecystitides
cholelithiasis	cholelithiases
chon	cha
churchman	churchmen
cicatrix	cicatrices
cicerone	ciceroni
cigarfish	cigarfish
cilium	cilia
cingulum	cingula
cirrhosis	cirrhoses
cirrocumulus	cirrocumuli
cirrostratus	cirrostrati
cirrus	cirri
cisco	ciscoes
cisterna	cisternae
clansman	clansmen
clanswoman	clanswomen
claro	claroes
claustrum	claustra
clavus	clavi
clergyman	clergymen
clergywoman	clergywomen
cloaca	cloacae
clubfoot	clubfeet
coachman	coachmen
coalman	coalmen
coastguardsman	coastguardsmen
coccidioidomycosis	coccidioidomycoses
coccidiosis	coccidioses
coccidium	coccidia
coccus	cocci
coccyx	coccyges
cochlea	cochleae
codex	codices
coelenteron	coelentera
cognoscente	cognoscenti
colloquy	colloquies
colossus	colossi
columbarium	columbaria
committeeman	committeemen
committeewoman	committeewomen
conch	conchs
conchfish	conchfish
congius	congii
congo	congoes
congressman	congressmen
congressperson	congresspeople
congresswoman	congresswomen
conidium	conidia
conman	conmen
consortium	consortia
contadino	contadini
continuum	continua
contretemps	contretemps
controlling	controlling
convictfish	convictfish
cooling	cooling
corditis	cordites
cornetfish	cornetfish
corneum	cornea
coronach	coronachs
corps	corps
corpsman	corpsmen
corpus	corpora
corrigendum	corrigenda
cortex	cortices
costa	costae
councilman	councilmen
councilwoman	councilwomen
counterman	countermen
countryman	countrymen
countrywoman	countrywomen
cowman	cowmen
coxa	coxae
cracksman	cracksmen
craftsman	craftsmen
craftswoman	craftswomen
cragsman	cragsmen
crewman	crewmen
crisis	crises
criterion	criteria
cromlech	cromlechs
crossbowman	crossbowmen
crowfoot	crowfeet
cryptococcosis	cryptococcoses
ctenidium	ctenidia
cumulonimbus	cumulonimbi
cumulus	cumuli
curdling	curdling
curia	curiae
curriculum	curricula
cuticula	cuticulae
cyanosis	cyanoses
cyclops	cyclops
cyclosis	cycloses
cystitis	cystitides
cytogenesis	cytogeneses
cytolysis	cytolyses
dado	dadoes
dago	dagoes
dairyman	dairymen
dairywoman	dairywomen
dalesman	dalesmen
dalo	dali
datum	data
deaf	deaves
debris	debris
deliveryman	deliverymen
desideratum	desiderata
deskman	deskmen
desperado	desperadoes
detritus	detritus
diabetes	diabetes
diaeresis	diaereses
diagnosis	diagnoses
diakinesis	diakineses
dialysis	dialyses
diaphoresis	diaphoreses
diaphysis	diaphyses
diastasis	diastases
diathesis	diatheses
dictum	dicta
dido	didoes
die	dice
dieresis	diereses
differentia	differentiae
dildo	dildoes
dingo	dingoes
diplococcus	diplococci
dipteron	diptera
diptych	diptychs
dis	disses
distich	distichs
diverticulosis	diverticuloses
diverticulum	diverticula
doctorfish	doctorfish
dogtooth	dogteeth
dominatrix	dominatrices
domino	dominoes
doorman	doormen
dormouse	dormice
draftsman	draftsmen
draftswoman	draftswomen
draughtsman	draughtsmen
drawknife	drawknives
driftfish	driftfish
dry	drys
duodenum	duodena
dustman	dustmen
dybbuk	dybbukim
dysgenesis	dysgeneses
earthman	earthmen
ecdysis	ecdyses
ecesis	eceses
echinococcosis	echinococcoses
echinococcus	echinococci
echo	echoes
ecphonesis	ecphoneses
ectozoon	ectozoa
eddo	eddoes
effluvium	effluvia
eggshake	eggshake
eisegesis	eisegeses
elasmobranch	elasmobranchs
elect	elect
electrolysis	electrolyses
electrophoresis	electrophoreses
electrophorus	electrophori
elephantiasis	elephantiases
elf	elves
ellipsis	ellipses
embargo	embargoes
emerita	emeritae
emeritus	emeriti
emphasis	emphases
enarthrosis	enarthroses
encephalitis	encephalitides
endometriosis	endometrioses
endothelium	endothelia
entozoon	entozoa
enuresis	enureses
epanalepsis	epanalepses
epanorthosis	epanorthoses
epigenesis	epigeneses
epiphysis	epiphyses
epistasis	epistases
epistaxis	epistaxes
epizoon	epizoa
epoch	epochs
eringo	eringoes
erratum	errata
eryngo	eryngoes
esophagus	esophagi
eubacterium	eubacteria
eunuch	eunuchs
euphorbium	euphorbia
everyman	everymen
exciseman	excisemen
executrix	executrices
exegesis	exegeses
expelling	expelling
extremum	extrema
eyetooth	eyeteeth
farrago	farragoes
fatso	fatsoes
fecula	feculae
fellowman	fellowmen
ferryman	ferrymen
fez	fezzes
fiasco	fiascoes
fibrinolysis	fibrinolyses
fibrosis	fibroses
fibula	fibulae
fieldmouse	fieldmice
fieldsman	fieldsmen
filaria	filariae
filariasis	filariases
filum	fila
fireman	firemen
fisherman	fishermen
fishwife	fishwives
flagellum	flagella
flagfish	flagfish
flagman	flagmen
flak	flak
flamefish	flamefish
florilegium	florilegia
flyby	flybys
flyleaf	flyleaves
foeman	foemen
foot	feet
footman	footmen
forefoot	forefeet
foreman	foremen
foreperson	forepeople
forewoman	forewomen
freedman	freedmen
freedwoman	freedwomen
freeman	freemen
freewoman	freewomen
fresco	frescoes
freshman	freshmen
frijol	frijoles
friz	frizzes
frogman	frogmen
frontiersman	frontiersmen
frosh	frosh
fungus	fungi
funiculus	funiculi
gagman	gagmen
galactosis	galactoses
gametangium	gametangia
ganglion	ganglia
gasman	gasmen
gastritis	gastritides
gastrocnemius	gastrocnemii
gastroenteritis	gastroenteritides
gemma	gemmae
genesis	geneses
gentleman	gentlemen
gentlewoman	gentlewomen
genus	genera
ghostfish	ghostfish
gingiva	gingivae
gingko	gingkoes
ginkgo	ginkgoes
gladiolus	gladioli
glans	glandes
gleba	glebae
glissando	glissandi
globigerina	globigerinae
glomerulonephritis	glomerulonephritides
glomerulus	glomeruli
gluteus	glutei
glycolysis	glycolyses
gnosis	gnoses
godchild	godchildren
gonococcus	gonococci
goodby	goodbys
goose	geese
graffito	graffiti
grandchild	grandchildren
groomsman	groomsmen
grotto	grottoes
groundsman	groundsmen
guacharo	guacharoes
guardsman	guardsmen
gummosis	gummoses
gunman	gunmen
gusto	gustoes
gynogenesis	gynogeneses
hadj	hadjes
haemodialysis	haemodialyses
haj	hajes
hajj	hajjes
half	halves
halfpenny	halfpence
halitosis	halitoses
halobacterium	halobacteria
handyman	handymen
hangman	hangmen
hardwareman	hardwaremen
harvestfish	harvestfish
harvestman	harvestmen
haustorium	haustoria
headman	headmen
headscarf	headscarves
headsman	headsmen
heathfowl	heathfowl
helix	helices
helmsman	helmsmen
hemodialysis	hemodialyses
hemolysis	hemolyses
henchman	henchmen
hepatitis	hepatitides
herdsman	herdsmen
hero	heroes
heterogenesis	heterogeneses
hidrosis	hidroses
hierarch	hierarchs
highwayman	highwaymen
hilum	hila
hilus	hili
hippocampus	hippocampi
his	hisses
hodman	hodmen
hollo	holloes
homefolk	homefolk
homeless	homeless
homeostasis	homeostases
hordeolum	hordeola
horsefish	horsefish
horseflesh	horseflesh
horseman	horsemen
horsepower	horsepower
horsewoman	horsewomen
hotelman	hotelmen
houseman	housemen
housewife	housewives
hovercraft	hovercraft
humerus	humeri
huntsman	huntsmen
husbandman	husbandmen
hydrocephalus	hydrocephali
hydrolysis	hydrolyses
hypervitaminosis	hypervitaminoses
hypha	hyphae
hypnosis	hypnoses
hypochondriasis	hypochondriases
hypophysis	hypophyses
hypothalamus	hypothalami
